"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-06-06,2416.4549867012,2530.3918612371,2387.6087517435,2477.1948101373,19407449564.6,5.90878416024289,-0.0197102855505227
2025-06-05,2608.6072565384,2640.6041075435,2395.7536908185,2416.2855921517,26194462736.91,9.38625069416982,-0.0248953132690852
2025-06-04,2593.4826542677,2677.9705464726,2585.7377151597,2608.6430329852,18621211034.52,3.55633114264813,0.0765986936419782
2025-06-03,2607.1975995931,2652.4187771318,2582.2505360076,2593.2802593803,18291179016.33,2.69132808096905,-0.00590659162233376
2025-06-02,2536.1849280076,2615.5157003333,2477.292797788,2607.0974987606,16744168823.55,5.45003248851758,0.00531394930800477
2025-06-01,2529.0966040916,2547.7729616588,2472.5407947259,2536.2663088146,13287852481.91,2.974665610289,-0.0275444906622884
2025-05-31,2529.8340800535,2550.4836539901,2484.2156155201,2529.0873780335,13992843764.89,2.6194618450471,-0.00283452490448965
2025-05-30,2632.8360195978,2648.2606783507,2510.1639102079,2529.9436479287,24599403942.53,5.24517163677729,0.000338511425995058
2025-05-29,2681.8432967298,2784.7524673916,2620.9827839112,2632.6548758292,27567479810.57,6.10660897600163,0.0397957665738629
2025-05-28,2663.010302828,2688.7421970566,2611.1609002178,2682.2128400301,19087366067.61,2.9132931538572,0.0186493448902576
2025-05-27,2564.1408030283,2712.2851667482,2512.5887065505,2663.0697270642,26264200535.87,7.78804580317332,-0.00716265026891616
2025-05-26,2551.3807643825,2598.5666553775,2530.3215699785,2564.1384181332,14936610009.42,2.67482950219376,-0.0378569673079747
2025-05-25,2530.8901761275,2553.8691683707,2467.8801023772,2551.7638148435,14556431364.04,3.39758187868396,-0.00483771067553018
2025-05-24,2526.38800932,2575.1312600148,2516.0181532343,2530.6462312159,11380899855.94,2.33982692137661,-0.00831011467562259
2025-05-23,2664.0820452986,2731.2208080077,2504.8735848881,2526.4419813074,30536501878.09,8.49625571851447,-0.00166271605335488
2025-05-22,2552.7667910511,2691.102323047,2546.4348209186,2664.1570470923,26596978352.2,5.6670864975031,0.0530757211236654
2025-05-21,2524.1592029235,2614.0608794362,2454.5378171415,2552.3472007855,31952904125.33,6.31984948136153,-0.0428742958587325
2025-05-20,2529.1350860407,2585.6199183951,2446.4467515707,2524.1732121799,23453322577.82,5.50279688864986,-0.0110998383069827
2025-05-19,2498.8001678573,2545.4611872281,2353.4268867807,2529.1666716605,27351331811.33,7.68506033085741,0.00197630130593129
2025-05-18,2475.769504585,2585.6969286739,2344.6682464337,2498.2335542663,25005164865.17,9.73550574049107,-0.0123059658554219
2025-05-17,2536.2975676582,2537.7818073053,2449.0694382488,2475.7544701497,18830706229.93,3.49771139584419,-0.00903871784499088
